# salmonsen/2/4/Articles.lst
#
index|Titel og indhold|0001 0003
#
|Accentbetegnelse og Lydskrift|0005-0006
|Medarbejdere|0007-0008
|Fortegnelse over Illustrationer|0999-1000
|Rettelser og Trykfejl|1001
#
-|<h2>B</h2>|
#
|Bridge, Kortspil|0009
|Bridgend, By i Glamorganshire i Wales|0010
|Bridge of Allan, yndet Badested i Skotland, Grevskab Stirling|0010
|Bridgeport,|0010
|1) By i U. S. A., Stat Connecticut|0010
|2) By i U. S. A., Stat Ohio|0010
|Bridges, Robert Seymour, eng. Digter, f. 1844|0010
|Bridgeton, By i U. S. A., Stat New Jersey|0010
|Bridgetown, se Barbados|0010
|Bridgewater, By i U. S. A., Stat Massachusetts|0010
|Bridgewater, Francis Henry Egerton, Jarl af (1758-1829)|0011
|Bridgewaterbøgerne, se Bridgewater, F. H. E.|0011
|Bridgewatergaleriet, en bekendt Privatsamling af c. 300 fortrinlige Malerier|0011
|Bridgewaterkanalen, Englands ældste Kanal, bygget 1758-71|0011
|Bridgman, Frederick Arthur, amer. Genremaler, (1847- )|0011
|Bridgman, Laura Dewey, blind-døvstum Amerikanerinde (1829-89)|0011
|Bridgnorth, By i det vestlige England, Shropshire|0011
|Bridgwater, By i det sydvestlige England, Somersetshire|0011
|Bridlington, By i det nordøstlige England, Yorkshire (East-Riding)|0011
|Bridon, se Hovedtøj,|0011
|Bridport, Søstad i Sydengland, Dorsetshire|0011
|Bridsha, se Masagan|0011
|Bridurt, se Brudurt|0011
|Brie, et tidligere fr. Grevskab, som 1361 forenedes med Kronen, ligger Ø. f. Paris mellem Seine og Marne|0011
|Brie-Comte-Robert, By i det fr. Dept Seine-et-Marne|0011
|Brieg (slav. Brzeg), By i preussisk Prov. Schlesien|0011
|Brieg, se Brig|0011
|Briel, se Brühl|0011
|Briel ell. Brielle, befæstet Søhavn i den nederlandske Prov. Sydholland|0011-0012
|Briem, Eiríkur, isl. Docent, (1846- )|0012
|Briem, Páll Jakob, isl. Amtmand, (1856-1904)|0012
|Briem, Valdimar, isl. Præst og religiøs Digter, (1848- )|0012
|Brienne (B.-le-Château), lille By i det nordøstlige Frankrig, Dept Aube|0012
|Brienne, Greverne af, spillede en ret fremtrædende Rolle i den senere Korstogstid|0012
|Brienz, By i det schweiziske Kanton Bern|0012
|Brier Creek, Flod i U. S. A., Stat Georgia|0013
|Brière-de-l'Isle, Louis Alexandre Esprit Gaston, fr. General, (1827-1896)|0013
|Brierfield, By i England, Lancashire|0013
|Brierley, Benjamin, eng. Forfatter (1825-96)|0013
|Brierley Hill, Fabrikby i Mellemengland, Staffordshire|0013
|Briesen, By i den østlige Del af Preussen, Prov. Preussen|0013
|Brieuc, se Saint Brieuc|0013
|Brieux, Eugène, fr. Forf., (1858- )|0013
|Briey, By i Frankrig, Dept Meurthe-et-Moselle|0013
|Brig (Brieg, Brigue), lille By i det schweiziske Kanton Wallis|0013
|Brig, et Skib af Middelstørrelse med to fuldriggede Master og Raasejl paa begge|0013
|Brigade. Navnet er opr. ital. (brigata) og betegner i Alm. en større, af en enkelt Vaabenart bestaaende Troppeafdeling|0013
|Brigadier betegner i det franske Rytteri den Meniges nærmeste Foresatte|0013-0014
|Brigands (fr.; ital. brigánti *c : urolige, af bríga, Uro), Urostiftere, Landevejsrøvere, »Briganter«|0014
|Briganter (Brigántes), det største og mægtigste Folk i det rom. Britannien|0014
|Brigantine, et Skib i Middelhavet med 2 Master og Gaffelsejl samt Stagsejl|0014
|Brigg, Glamford B., By i England, Lincolnshire|0014
|Briggs, Henry, eng. Matematiker (1561-1630)|0014
|Brigham City, Brigham, By i U. S. A., Stat Utah|0014
|Brigham Young, se Young|0014
|Brighouse, Fabrikby i det nordlige England, Yorkshire (West-Riding)|0014
|Bright, Sir Charles Tilston, eng. Ingeniør (1832-88)|0014
|Bright, John, eng. Statsmand, (1811-1889)|0014-0015
|Bright, Richard, eng. Læge (1789-1858)|0015
|Bright, Timothy, eng. Læge og Stenografiopfinder (1550-1615)|0015
|Brighton, Søstad i det sydlige England, ligger ved Kanalen|0015
|Brighton, By i den britisk-austral-ske Koloni Victoria, Forstad til Melbourne|0015
|Brightske Syge, se Nyrebetændelse|0016
|Brigitinerorden, d .s .s. Birgittinerorden|0016
|Brignoles, By i det sydøstlige Frankrig, Dept Var|0016
|Brignoles, meget bekendte tørrede Blommer, uden Stene, der faas fra den fr. By af samme Navn|0016
|Brigsdalsbræen i Norge gaar ned til Nordfjord paa Nordsiden af Justedalsbræens store Snemark|0016
|Brigsejl (Søv.), det agterste Gaffelsejl paa en Brig|0016
|Brihaspati ell. Brahmanaspati (»Bønnens Herre«), i den ind. Mytologi Gudernes Lærer|0016
|Brihatkatha, en Eventyrsamling af Gunâdhya i »Piçâca-Sproget«|0016
|Brihuega, By i Mellemspanien, Prov. Guadalajara|0016
|Brik, et Fiskeredskab, der bestaar af en rund Træskive, som flyder frit paa Vandet med en lodret opstaaende Træpind|0016
|Brik-Brak, se Bismer|0016
|Briketter kaldes en Slags kunstigt Brændsel, der fremstilles ved Sammenpresning|0016-0017
|Brikol, d. s. s. Bricole|0017
|Brikolskud, en Art Rikochetskud|0017
|Bril (Brill),|0017
|1) Mattijs (Mattheus), holl. Maler, (1550-1583)|0017
|2) Paul (Paulus) B., (1554-1626)|0017
|Brile (Brei, Briel, Kætser, Kajs, Catcher), et Redskab, hvormed man optager Fisk af Hyttefade o. l.l|0017
|Brilettos, se Pentelikon|0017
|Brill, Evert Jan, holl. Boghandler i 19. Aarh.|0017
|Brillant er Betegnelse for en bestemt Form, som man ved Slibning giver gennemsigtige Ædelstene|0017
|Brillantblik, se Hvidblik|0017
|brillante (ital.), musikalsk Foredragsbetegnelse: glimrende, med Ild og Bravur|0017
|Brillantglas, Glas, som er slebet i Facetter og er stærkt lysbrydende|0017
|Brillantgrønt, se Malakitgrønt|0017
|Brillantgult. Med dette Navn betegnes forsk. Tjærefarvestoffer:|0017
|1) Natriumsalt af Dinitro-*alpha*-naftolmonosulfonsyre|0017
|2) Natriumsalt af Sulfanilsyre-azo-difenylaminsulfonsyre|0017
|3) Natriumsaltet af Diamidostilbendi-sulfonsyre-disazofenol-fenol|0017-0018
|Brillantild, se Fyrværkeri|0018
|Brillantine, en Blanding af amer. Olie, undertiden andre Olier, Glycerin og parfumeret Alkohol|0018
|Brillantinestol, en særegen Slags Jacquardvæv|0018
|Brillantkrocein, et Tjærefarvestof, Natriumsaltet af Amidoazobenzol-azo-*beta*-naftol-disulfonsyre|0018
|Brillat-Savarin, Anthelme, fr. Forf. (1755-1826)|0018
|Brille (tekn.), en Ring, oftest af Jern, der sidder paa en Dok ell. sjældnere paa Forsætteren paa Drejebænken|0018
|Brilleand, se Ænder|0018
|Brillebas, Øgenavn for en ofte forekommende Nodefigur|0018
|Brillefugle, se Honningfugle|0018
|Brillekaiman, se Kaimaner|0018
|Brillepengvin, se Pengviner|0018
|Briller kaldes et Apparat, der bæres for Øjnene enten for at forbedre Synet ell. for at beskytte Øjnene|0018-0020
|brillere (fr.), glimre, udmærke sig|0020
|Brilleslange, se Giftsnoge|0020
|Brillesten, se Mergel|0020
|Brilon, By i preuss. Prov. Westfalen|0020
|Brin, Benedetto, ital. Statsmand, (1833-1898)|0020
|Brinchmann, Christopher, norsk Arkivar og Forf., (1864- )|0020
|Brinck, Iver, dansk Præst, (1665-1728)|0020
|Brinckman, Karl Gustaf von, sv. Diplomat, sv. og tysk Digter (1764-1847)|0020
|Brinckmann, Justus, tysk Museumsmand, (1843-1915)|0020-0021
|Brindaban, By i Distriktet Muttra i United provinces i Forindien|0021
|Brindeau, Paul Louis Edouard, fr. Skuespiller, (1814-1882)|0021
|brindisi (ital. Substantiv), Skaal (at drikke en til ved Gæstebud, at drikke ens Skaal)|0021
|Brindisi, By i Syditalien, Prov. Lecce, ligger 72 km Ø. f. Tarento|0021
|Brindley, James, eng. Mekaniker og Vandbygningsingeniør (1716-72)|0021
|Brinell, Johan August, sv. Metallurg, (1849- )|0021-0022
|Bring,|0022
|1) Ebbe Gustaf, sv. Teolog, (1814-1884)|0022
|2) Johan Kristofer, sv. Præst (1829-98)|0022
|Bringe, den forreste Del af Hestens Krop (Bryst)|0022
|Bringebyld, se Botryomykose|0022
|Bringebær, norsk Navn for Hindbær|0022
|bringe i Led (lat. reponere) ell. sætte i Led, Ledsætning|0022
|Bringekobbel er den Kæde ell. Læderrem, hvorved Kørehestens Seletøj forbindes med Vognstangens Forende|0022
|bringe til (Søv.), at føre det løse af et næsten stivhalet (strammet) Tov hen til en Klampe ell. Pullert|0022
|Brink, Kanten ell. Pynten af et skraat, stejlt Sted|0022
|Brink, Bernard ten, tysk Litterærhistoriker og Sprogforsker, (1841-1892)|0022
|Brink, Jan ten, holl. Litteraturhistoriker og skønlitterær Forf., (1834-1901)|0022-0023
|Brink, Jules ten, holl. Komponist (1838-89)|0023
|Brint (Hydrogenium), H=l,<sub>008</sub>, et luftformigt Grundstof|0023-0024
|Brintionkoncentration|0024
|Brinton, Daniel Garrison, amer. Etnolog, (1837-1899)|0024
|Brintoverilte, Brintperoxyd, H<sub>2</sub>O<sub>2</sub>|0024-0025
|Brinvilliers, Marie Madeleine, Markise (c. 1630-76), Giftblanderske|0025
|Brinz, Alois von, tysk Retslærd, (1820-1887)|0025
|brio (ital.), Livfuldhed; con brio ell. brioso, musikalsk Foredragsbetegnelse: livfuld, med ildfuldt Foredrag|0025
|Brioche, en Slags Hvedeboller, hvortil Dejgen sammensættes af Hvedemel, Smør, Salt, Æg og Fløde|0025
|Briochovskiøerne, Fællesnavn paa en stor Samling af Øer|0025
|Brion, Friederike Elisabeth, (1752-1813)|0025
|Brion, Gustave, fr. Genremaler, (1824-1877)|0025
|Brioniske Øer i Adriaterhavet ved Kysten af Istrien|0025
|Brionne, By i det nordvestlige Frankrig, Dept Eure|0025-0026
|Brioschi, François, ital. Matematiker og Politiker, (1825-1897)|0026
|Briosco, se Riccio|0026
|brioso, se brio|0026
|Briot, Charles Auguste Albert, fr. Matematiker (1817-82)|0026
|Brioude, By i Mellemfrankrig, Dept Haute-Loire|0026
|brisant kaldes et Sprængstof, hvis fuldstændige Eksplosion finder Sted i Løbet af meget kort Tid (c. 1/5oooo Sekund)|0026
|brisante Sprængstoffer, se brisant|0026
|Brisantgranater, se Granater|0026
|Brisbane, Flod i den sydligste Del af den britiske Koloni Queensland|0026
|Brisbane, Hovedstad i den australske Stat Queensland|0026
|Brise, en frisk, men ikke særlig stærk Blæst|0026
|Brisebarre, Edouard Louis Alexandre, fr. dramatisk Forf. (1818-71)|0026
|Briseis, Achilleus' Elskerinde|0026-0027
|Briseis Flak, Kattegat, landløs Sandgrund, 20 Sm. N. f. Sjællands Odde|0027
|brisement forcé (kirurgisk)|0027
|Brisieux, Charles Étienne, fr. Arkitekt, (1660-1754)|0027
|Brisinga, se Søstjerner|0027
|Brisingemen, Gudinden Frøja's Smykke|0027
|Brisk, se Juniperus|0027
|Brisk kaldes den forberedte Standplads, paa hvilken de større Kanoner i Beglen betjenes|0027
|Brisling, se Sild|0027
|Brissac, gl fr. Adelsslægt, hed opr. Cossé,|0027
|Brissel (glandula thymus) er en Kirtel, der hos Hvirveldyrene findes i den forreste Del af Brysthulen|0027-0028
|Brisson,Eugène Henri, fransk Statsmand, (1835-1912)|0028
|Brisson, Mathurin Jacques, fr. Naturforsker (1723-1806)|0028
|Brissot, Jean Pierre, fr. Revolutionsmand (1754-93)|0028-0029
|Brissot, Pierre, fr. Læge, (1478-1522)|0029
|Bristoe Station i U. S. A., Stat Virginia|0029
|Bristol, By og eget Grevskab i det sydvestlige England|0029-0030
|Bristol, Navnet paa fl. Byer i U. S. A.,|0030
|1) B. i Connecticut, ligger 25 km SV. f. Hartford|0030
|2) B. i Bhode Island, ligger 26 km SØ. f. Providence|0030
|3) B. i Pennsylvania, ligger 30 km NØ. f. Philadelphia|0030
|4) Paa Grænsen af Staterne Tennessee og Virginia ligger 410 km ØNØ. f. Nashville|0030
|Bristol (egl. Breistöl), Lars, norsk-eng. Industridrivende, (1848- )|0030
|Bristol Bugt, stor Bugt af BeringsHavet N. f. Alaska Peninsula|0030
|Bristoldiamanter er klare, farveløse Kyartskrystaller|0030
|Bristolkanal, den 128 km lange Bugt af Atlanterhavet, mellem Sydwales og Devons Kyster|0030
|Bristolpapir, Isabeypapir, en Slags fint Pap|0030
|Brit, Flod i det sydlige England|0030
|Britannia, Romernes Navn for England, i videre Forstand omfattende baade England med Skotland og Irland|0030
|Britanniabroen, se Broer (Fig. 1)|0030
|Britanniametal, en blaalig-hvid Metallegering|0030-0031
|Britannicus,|0031
|1) Tilnavn for Kejser Claudius|0031
|2) Claudius Tiberius B. Cæsar, f. 41 e. Kr.|0031
|Britannien, d. s. s. Britannia|0031
|Britannien, Ny-, det tidligere Navn paa Neu-Pommern (Birara), Hovedøen i Bismarcks-Archipel|0031
|Britard, J. B., se Brizard|0031
|Briter, Beboerne af det gl. Britannia. Nu: Englænderne, de britiske Øers Indbyggere|0031
|British Association, et videnskabeligt eng. Selskab, stiftet 1831|0031
|British Museum, en storartet national Institution i London|0031-0033
|British Museum of Natural History i South Kensington i London|0033
|British South Africa Company, The (kaldt Chartered Company), det af Cecil Rhodes 1889 grundlagte Koloniseringsselskab|0033
|Britisk Belutshistan, se Belutshistan|0033
|Britisk Birma, se Birma|0033
|Britisk Central Afrika, indtil 1907 Betegnelsen for det nuv. Nyassaland Protectorate (s. d.)|0033
|Britisk Columbia, den mellem det store Ocean og Klippebjergenes Hovedkæde liggende Prov. af Dominion of Canada|0033-0035
|Britiske Øer, Europas største Arkipelag, der ved Nordsøen og Kanalen skilles fra Fastlandet|0035
|Britisk Guayana, se Guayana|0035
|Britisk Honduras (Belize, Balize), eng. Koloni i Mellemamerika ved Honduras-Bugten paa Østsiden af Halvøen Yucatan|0035
|Britisk Indien, se Indobritiske Rige|0035
|Britisk Nordamerika, Fællesnavn for Dominion of Canada og den ligeledes selvstyrende Koloni Newfoundland|0035
|Britisk Nord Borneo, britisk Koloni, omfattende den nordlige Del af Borneo|0035-0036
|Britisk Ny-Guinea, se Ny-Guinea|0036
|Britisk Ostindien, se Indobritiske Rige|0036
|Britisk Senegambien, se Gambia|0036
|Britisk Somaliland (eng. Somaliland protectorate) udgør de eng. Besiddelser paa Nordsiden af Somali-Halvøen i Østafrika|0036
|Britisk Sydafrika omfatter de udstrakte Besiddelser i det sydlige Afrika|0036
|Britisk Vestafrika bestaar af Kolonierne Gambia, Sierra Leone, Guldkystkolonien og Nigeria|0036
|Britisk Østafrika omfatter ... hele det under britisk Overhøjhed staaende Territorium paa Østsiden af Afrika|0036-0037
