# salmonsen/2/2/Articles.lst
#
index|Titel og indhold|0001 0003
|Accentbetegnelse og Lydskrift|0005-0006
|Medarbejdere|0007-0008
|Forkortelser|1003-1004
|Fortegnelse over Illustrationer|1005-1006
|Rettelser og Trykfejl|1007
#
#
-|<h2>A</h2>|
#
# Sida 0009-0022 inlagt 4 mars 2004 från wiki, av Fh
#
|Arbejderhaver, se Kolonihaver|0009
|Arbejderhygiejne|0009-0011
|Arbejderkammer, se Arbejdsraad|0011
|Arbejderkommissioner|0011
|Arbejderkongresser|0011
|Arbejderlovgivning, se Arbejderbeskyttelseslovgivning, Arbejderforsikring og Arbejdsstridigheders Bilæggelse|0011
|Arbejdernes Byggeforening, se Arbejderboliger|0011
|Arbejderoverenskomster|0011-0015
|Arbejderpartier, se Arbejderspørgsmaalet og Socialdemokrati|0015
|Arbejderretter, se Arbejdsstridigheders Bilæggelse|0015
|Arbejdersparekasser, se Sparekasser|0015
|Arbejderspørgsmaalet|0015-0017
|Arbejderstatistik, se Socialstatistik|0017
|Arbejderulykkesforsikring, se Ulykkesforsikring|0017
|Arbejderundervisning|0017
|Arbejdets Riddere, se Knights of Labor|0017
|Arbejdsanstalter, se Fattigvæsen og Tvangsarbejde|0017
|Arbejdsanvisning|0017-0020
|Arbejdsdeling|0020-0021
|Arbejdsdeling (zool.)|0021-0022
#
# resten av bandet inlagt 25 mars 2005
#
|Arbejdsenhed|0022
|Arbejdsgiver|0022
|Arbejdsgiverforening|0022-0026
|Arbejdshjem|0026
|Arbjedsløn|0026-0031
|Arbejdsløshed|0031-0032
|Arbejdsløshedsforsikring|0032-0034
|Arbejdsløshedsnævn, se Arbejdsløshedsforsikring|0034
|Arbejdsløshedsstatistik|0034
|Arbejdsspor|0034-0035
|Arbejdsstridigheders Bilæggelse|0035-0041
|Arbejdsstuer|0041
|Arbejdsstyrke|0041
|Arbejdstegning|0041
|Arbejdstid|0041-0043
|Arbitrage|0043-0044
|arbitrariæ|0044
|Arbo, Carl Oscar Eugen|0045
|Arbo, Peter Nicolai|0045
|Arbois de Jubainville|0045-0046
|Arbon|0046
|Arbutin|0047
|Arcadelt, Jacob|0047
|Arcadia|0048
|Archangelica|0049
|Archer|0049-0050
|Archer (flod)|0050
|Archiater|0051
|Archimedes|0051-0052
|Archispermæ, se Nøgenfrøede|0053
|Archæopteryx|0053-0054
|Arcinoitherium|0055
|Arcon, Jean Claude Eleonore Lemicaud d'|0055-0056
|Arcos de la Frontera|0056
|Arcuatkalk|0057
|Arden|0057
|Ardennerhest, se Heste|0058
|Ardilan|0059
|Arealskat|0059-0060
|Areca|0060
|Areion|0061
|Arenberg, Prosper Ludvig|0061-0062
|Arends, Leopold Alexander|0063
|Arenfeldt|0063-0064
|Arenga|0064
|Arensky|0065
|Arentzen, Kristian August Emil|0066
|Ares|0067-0068
|Areschoug, Fredrik Vilhelm Kristian|0068
|Arete|0069
|Arfak-Bjergene|0070
|Argensola, Bartolome Leonardo de|0071
|Argenta|0072
|Argentina|0072-0076
|Argenton|0077
|Argonauta, se Blæksprutter|0078
|Argonauter|0078-0079
|Argos|0080
|Argonaut, d', Antoine Maurice Apollinaire|0081
|Argyllshire|0082
|Argyrokeratit, d.s.s. Hornsølv|0083
|Arianske Strid|0083-0084
|Aribert|0084
|Aricia, se Ariccia|0085
|Aricin|0085
|Ariel|0086
|Arimatæa|0087
|Ariosto, Lodovico|0087-0088
|Ariovist|0088
|Aristagoras|0089
|Aristeides fra Athen|0089-0090
|Aristobul|0091
|Aristofanes|0091-0092
|Aristol (Ditymoldijodid Armidalin)|0093
|Aristoteles|0093-0098
|Aristoteles-Hjort, se Hjorte|0098
|aritmetisk Progression, a. Række, se Differensrækker|0099
|Ark|0099-0100
|Arkade|0100
|Arkadien|0100-0101
|arkaisk|0101
|Arkana|0101-0102
|Arkandisciplin|0102
|Arkansas|0103
|Arkeli|0103-0104
|Arkitekturmaleri|0104-0107
|Arkivalier|0107
|Arkivar|0107
|Arkiv for nordisk Filologi|0107
|Arklow|0107
|Arkona|0107-0108
|Arkose, en oftest grovkornet Sandsten|0108
|Arksutit, se Kiolit|0108
|Arktinos, se Cykliske Digtere|0108
|arktisk (gr.)|0108
|arktisk Fauna|0108
|arktisk Flora|0108-0109
|arktisk Stenalder|0109-0110
|Arktos (gr.: »Bjørn«), Navn paa to Stjernebilleder|0110
|arktotertiær, se Plantegeografi|0110
|Arkturos, d.s.s. Arcturus, se Bootes|0110
|Arkwright,Sir Richard, eng. Mekaniker (1732-92)|0110
|arkæisk Gruppe ell. azoisk Gruppe, Stenarter|0110
|Arkæologi (gr.)|0110-0111
|arkæologiske Institutter|0111
|Arlanc, By i det fr. Dept Puy de Dôme|0111
|Arlaud, Jacques Antoine, Miniatur-maler (1668-1743)|0111
|Arlaud, Oscar, dansk Forf. (1836-1907)|0111
|Arlberg, 1802 m højt Pas paa Grænsen mellem Tyrol og Vorarlberg, danner Vandskel mellem Rhinen og Donau|0111
|Arlberg, Georg Efraim Fritz, sv. Operasanger, Skuespiller og Sanglærer(1830-1896)|0111-0112
|Arlecchino, se Harlekin|0112
|Arles [arl], By i det sydøstlige Frankrig|0112
|Arlesheim, Flække i det schweiziske Kanton Baseiland|0112
|Arlincourt, d', Charles Victor Prévot, Vicomte, fr. Romanforfatter (1789-1856)|0112
|Arlington, Navn paa fl. Byer i U.S.A.|0112
|Arloing [arlwæ], Saturnin, fr. Fysiolog og Bakteriolog, f. 3. Jan. 1846|0112
|Arlon, Hovedstad i den belgiske Prov. Luxembourg|0112-0113
|Arlt, Ferdinand von, Østerrigsk Øjenlæge, (1812-1887)|0113
|Arm. 1) I Hvirveldyrenes Anatomi er A. identisk med Forben|0113
|Arm 2) Den menneskelige Arm|0113-0114
|Armada (sp.), Navn, der opr. bet. enhver væbnet Magt (Armé), senere særlig Orlogsflaaden|0114
|Armadill, d.s.s. Bæ1tedyr|0114
|Armadilla, Diminutiv af Armada|0114
|Armadillidium, se Bænkebidere.|0114
|Armagh, Grevskab i det nordøstlige Irland, Prov. Ulster|0114-0115
|Armagnac, gammelt fr. Landskab, en Del af Gascogne|0115
|Armagnac, en hvid Vin fra Omegnen af den fr. By af samme Navn|0115
|Armagnaker kaldtes den Hær, som Grev Bernhard VII stillede op imod det burgundiske Parti|0115
|Armangon, Flod i Mellemfrankrig|0115
|Armand-Dumaresq, Char1es Edouard, fr. Slagmaler (1826-95)|0115
|Armansperg , Johan Ludvig, Greve, bayersk Statsmand (1787-1853)|0115-0116
|Armatoler var Navnet paa en gr. Landmilits paa Balkan-Halvøen|0116
|Armatur, 1) i Teknikken samtlige Dele|0116
|Armatur, 2) i Fysikken|0116
|Armatur, 3) Tidligere alm. Fællesbetegnelse for Bevæbning og Udrustning|0116
|Armauer Hansen, se Hansen, G. H. A.|0116
|Armbaand og Armringe (Haandledsringe)|0116-0117
|Armbind|0117
|Artnbrust, Karl F., tysk Orgelspiller (1849-96)|0117
|Armbrøst|0117
|Armé|0117-0118
|Arméfæstning|0118
|Armékommando|0118
|Armékorps|0118-0119
|Armengaud, Jean Germain Désiré, fr. Kunsthistoriker (1797-1869)|0119
|Armenien|0119-0123
|armenisk Kirke|0123
|armenisk Sprog og Litteratur|0123-0125
|Armentiéres|0125
|armere|0125
|armeret Beton, se Jernbeton|0125
|Armeria Willd|0125
|Arme Riddere|0125
|Armering|0125-0126
|Armestyrelsen, se Norge, »Hær og Flaade«|0126
|Armfelt, 1) Carl Gustaf, svensk Militær (1666-1736)|0126
|Armfelt, 2) Gustaf Mauritz, sv.-finsk Militær og Statsmand|0126-0127
|armfinnede Fisk, se Tussefisk|0127
|Armfødderne|0127
|Armgige|0127
|armifer, armiger|0127
|Armillaria, se Honningsvamp|0127
|Armillarsfære|0127-0129
|Armilus ell. Armillus|0129
|armilustrium|0129
|Arminianere (Remonstranter)|0129
|Arminius|0129-0130
|Arminius (Jakob Harmensen), holl. Teolog (1560-1609)|0130
|Armitage, Edward, eng. Historiemaler (1817-1896)|0130
|Armitage, Thomas, Thomas, eng. Blindefilantrop (1824-1890)|0130
|Armod|0130-0131
|Armodsbevis, se Testimonium|0131
|Armont M. A. Ch., se Corday|0131
|Armoracia, se Peberrod|0131
|Armorial (nylat. Armoiále), Vaabenbog|0131
|Armorica, se Aremorica|0131
|Armorikanske Bjerge|0131
|Armring, se Armbaand|0131
|Armstead, Henry Hugh, eng. Billedhugger (1828-1905)|0131
|Armstrong, George Francis, irsk Digter, f. 1845|0131
|Armstrong, John, eng. Digter og Læge (1709-79)|0131
|Armstrong, William George, Lord, Søn af en Købmand i Newcastle (1810-1900)|0131-0132
|Armstrongs Blanding|0132
|Armyrer|0132
|Arn-|0132
|Arnaboldi, Alessandro, ital. Digter, f. 1827|0132
|Arnagerkalk|0132
|Arnal, Etienne Nicolas Joseph, fr. Skuespiller (1794-1872)|0132
|Arnald fra Villanova, sp. Læge (1238-1311)|0132
|Arnald (eller Arnhal) Thorvaldssøn|0132
|Arnald Islænding|0132
|Arnamagnæanske Legat, se Magnusson, Arni|0132
|Arnarfellsjökull|0132-0133
|Arnarfjörður|0133
|Arnarvatnsheiði|0133
|Árnason, Hannes, isl. Docent og Legatstifter|0133
|Árnason, Jón, isl. Biskop (1665-1743)|0133
|Árnason, Jón, isl. Sysselmand og Forf. (1727-77)|0133
|Árnason, Jón, Inspektør ved Latinskolen og Bibliotekar ved Landsbiblioteket i Reykjavik (1819-1888)|0133-0134
|Arnau|0134
|Arnaud, se Baculard d'Arnaud.|0134
|Arnauld, Antoine. 1) Den ældre (1560-1619)|0134
|Arnauld, Antoine. 2) Den yngre (1612-94)|0134
|Arnault, Antoine-Vincent, fr. Digter (1766-1834)|0134
|Arnaut|0134
|Arnaut Beligrad, se Berat|0134
|Arnay-le-Duc|0134
|Arnberg, Johan Wolter, sv. Bankmand (1832-1900)|0134
|Arnbjörn Jonssön, norsk Høvding, d. 1240|0134-0135
|Arndt, Ernst Moritz, tysk Patriot og Forf. (1769-1860)|0135
|Arndt, Johann, luthersk Opbyggelsesforfatter (1555-1621)|0135-0136
|Arndtsen, Adam Frederik Oluf, norsk Fysiker, f. 1829|0136
|Arne|0136
|Arne, nordisk Mandsnavn; om Oprindelsen se Arn-|0136
|Arne, Thomas Augustine, eng. Musiker (1710-78)|0136
|Arneberg|0136
|Arneberg, Arnstein, norsk Arkitekt|0136
|Arnebia|0136
|Arnedillo, se Arnedo|0136
|Arnedo|0136
|Arnefjord, d. s. s. Arnarfjördur|0136
|Arneiro, José Auguste Fereira|0136
|Arnemuiden|0137
|Arnesen, Anton Ludvig, dansk Forf. (1808-1860)|0137
|Arnesen, Arne Gude Smith, norsk Biblioteksmand, f. 1880|0137
|Arnesen, Emily, norsk Zoolog, f. 1867|0137
|Arnesen, Paul, klassisk Filolog, Islænder (1776-1851)|0137
|Arnesen-Kall, Benedicte, se Kall|0137
|Arne Sigurdsson, Biskop i Bergen 1304-14|0137
|Árnessýsla|0137
|Árnesting|0137
|Arneth, Alfred, Ridder af, tysk Historieskriver (1810-1897)|0137-0138
|Arnetvedt, Nils, norsk Missionær, f. 1846|0138
|Arnfast|0138
|Arngrim|0138
|Arngrímur Jónsson, se Jónsson, A.|0138
|Arnhem|0138
|Arni, se Okser|0138
|Arnica|0138
|Arnicaolie|0138
|Arnicatinktur|0138
|Arnicin|0138-0139
|Árni Helgason, isl. Biskop, d. 1320|0139
|Árni Helgason, se Helgason, A.|0139
|Arnim, Adolf Heinrich, Greve af A.-Boitzenburg (1803-1868)|0139
|Arnim, Anna Elisabeth (»Bettina«), tysk Forfatterinde (1785-1859)|0139
|Arnim, Hans Georg, Feltherre i Trediveaarskrigen (1581-1641)|0139
|Arnim, Harry, Greve, tysk Diplomat (1824-81)|0139
|Arnim, Heinrich Alexander v., preuss. Statsmand (1798-1861)|0139-0140
