# salmonsen/2/3/Articles.lst
#
index|Titel og indhold|0001 0003
|Accentbetegnelse og Lydskrift|0005-0006
|Medarbejdere|0007-0008
|Forkortelser|1015-1016
|Fortegnelse over Illustrationer|1017-1018
|Rettelser og Trykfejl|1019
#
-|<h2>B</h2>|
#
|Benzolderivater|0009
|Benzolin, se Amarin|0009
|Benzon, Hovedgaard i Nørre Herred|0009-0010
|Benzon, Alfred Nikolaj, dansk Apoteker (1823-1884)|0010
|Benzon, Boje Peter Lorenz Alfred, dansk Apoteker og Fabrikejer, f. 1855|0010
|Benzon, Carl Otto Valdemar, dansk Forfatter, f. 1856|0010
|Benzon, Frederik Vilhelm Casper, dansk Adelsgenealog (1791-1832)|0010-0011
|Benzon, Jacob, Statholder i Norge (1688-1775)|0011
|Benzon, Niels (1609-1674)|0011
|Benzon, Peter Eggert, dansk Præst og Forf., f. 1857|0011
|Benzonitril|0011
|Benzopurpurin|0011
|Benzosol|0011
|Benzotriklorid|0011
|Benzoyl|0011
|Benzoyl-Amidoeddikesyre|0011
|Benzoylglykokoll|0011
|Benzyl|0011
|Benzylalkohol|0011
|Benzylbenzol|0011
|Benzyliden|0011
|Benzylklorid|0011
|Benzylviolet|0011
|benævnte Tal|0011
|Beograd, se Belgrad|0011
|Beotuk,Beothuk, uddød Indianerstamme|0011-0012
|Béovulf (Bjovulf), Navnet paa en oldengelsk Sagnhelt og paa det oldengelske Digt|0012
|Beplantning, se Plantning|0012
|Béppo, Pseudonym for den sv. Digter G. L. Sommelius|0012
|Bepur [eng.], se Baipur|0012
|Berabra, arab. Folk, der bor S. f. Ægypten|0012-0013
|Bérain, Jean, fr. Arkitekt og Ornamenttegner, (1637-1711)|0013
|Berammelse|0013
|Béranger, Pierre Jean de. fr. Digter, (1780-1857)|0013-0014
|Benar , Landskab i Forindien|0014
|Berat (Barat), By i det sydlige Albanien|0014
|Béraud [berro], Jean, fr. Maler, f. 1849 i Petrograd|0014
|Beraun, Flod i Böhmen, Moldaus største Biflod|0014
|Beraunit, et Mineral|0014
|Berber, By i eng.-ægypt. Sudan|0014
|Berber, den store hamitiske Folkegruppe i Nordafrika|0014-0015
|Bérbera, Hovedstad i britisk Somali-Protektorat i NØ.-Afrika|0015
|Berber-Heste|0015
|Berberidaceæ, se Berberisfamilien|0015
|Berberiet|0015
|Berberin|0015
|Berberis L. Slægt af Berberisfamilien|0015
|Berberisfamilien (Berberidaceæ)|0015-0016
|Berberis-Græs-Rust, se Puccinia|0016
|Bérberløve, se Løve|0016
|Berbice, Grevskab i det britiske Guvernement Guyana|0016
|Berbir, se Gradisca|0016
|Berby, adelig Sædegaard i Norge|0016
|berceau (fr.), Vugge; Buegang, m. v.|0016
|Berceto, By i det nordlige Italien|0016
|berceuse (fr.), Vuggevise, Gyngestol|0016
|Berchem, befæstet Forstad til Antwerpen|0016
|Berchem, Jacques,nederlandsk Kontrapunktiker fra 16. Aarh.|0016
|Berchem, Nicolaes, holl. Maler og Raderer, (1620-1683)|0016
|Berchet, Giovanni, ital. Digter (1783-1851)|0016-0017
|Berchtesgaden|0017
|Berchtold, Leopold, Greve, østerr.-ung. Diplomat, f. 1863|0017
|Berckheyde, Gerrit, holl. Maler, (1638-1698)|0017
|Berckheyde, Job Adriaansz, holl. maler, (1630-1693)|0017-0018
|Berck-sur-Mer , By i det fr. Dept Pas de Calais|0018
|Bercy, tidligere en selvstændig Kommune SØ. f. Paris|0018
|Berdan-Geværet, se Haandskydevaaben|0018
|Berdera (Bardera), By i Østafrika|0018
|Berditschev, By i Lille-Busland, Guv. Kijev|0018
|Berdjansk, By i Sydrusland, Guv. Taurien|0018
|Beredskab. Tropper, der tjener til Dækning for andre|0018
|Bereg, Komitat i det nordøstlige Ungarn|0018
|Beregszasz, se Bereg|0018
|Berending brugtes for de første Foretagender, som en Angriber iværksatte over for en Fæstning|0018
|Berendt, Carl Hermann, tysk Etnograf, (1817-1878)|0018
|Berendt, Gottlieb, tysk Geolog, (1836- )|0018-0019
|Berendt, Nicolai, dansk Musiker, (1826-1889)|0019
|Berengar,|0019
|1) B. I, Konge af Italien|0019
|2) B. II,|0019
|Berengar fra Tours, middelalderlig Teolog (c. 1010-88)|0019
|Berengaria|0019
|Bérenger, Alphonse Marie, fr. Politiker (1785-1866)|0019-0020
|Bérenger, René, fr. Politiker, (1830- )|0020
|Berenike, makedonisk Udtale af det græske Kvindenavn Fere-nike (»Sejrsbringerske«),|0020
|efter rom. og senere gr. Udtale: Veronika|0020
|1) B., Halvsøster til Ptolemais I|0020
|2) B., Sønnedatter af B. 1), Datter af ovenn. Kong Magas|0020
|3) B., Datter af Ptolemaios II og dennes første Dronning, Arsinoë|0020
|4) B., eneste Datter af Ptolemaios Soter II|0020
|5) B., Datter af Ptolemaios XIII, Neos Dionysos ell. Auletes|0020
|6) B., gift med Mithridates den Store af Pontos, dræbt 72|0020
|7) B., Datter af Herodes den Store's Sønnesøn Agrippa I|0020
|Berenike. Navn paa mindst otte Oldtidsbyer paa Kyster af Afrika og Asien|0020
|Berenikes Hovedhaar (Coma Berenlces), et lidet Stjernebillede paa den nordlige Himmel|0020-0021
|Berens, Johan Herman, Musiker, (1826-1880)|0021
|Berenson, Bernhard, amer. Kunsthistoriker, (1865- )|0021
|Berent, Behrent, By i Preussen, Prov. Vestpreussen|0021
|Bereny, se Wiehe|0021
|Beresford, Charles William de la Poer, Lord, eng. Søofficer, (1846- )|0021
|Beresford, John Poo, Sir, eng. Admiral (1768-1844)|0021-0022
|Beresford, William Carr, Viscount, eng. General, (1768-1854)|0022
|Beresin, Ilja (Elias) Nikolajevitsch, russ. Orientalist, (1818-1896)|0022
|Beresina, Flod i Guv. Minsk, en af de bet. Bifloder til Dnjepr|0022
|Beresina-Kanalsystemet|0022-0023
|Beresit, en aplitlignende Bjergart|0023
|Beresna, By i Lille-Rusland, Guv. Tshernigov|0023
|Beresov (Berezov), By i det vestlige Sibirien, Guv. Tobolsk|0023
|Beresovit, et Mineral|0023
|Beresovsk, Flække i det østlige Rusland, Guv. Perm i Ural|0023
|berette, se Skriftemaal|0023
|Berettini, P. da Cortona, se Cortona|0023
|Berettyó, Biflod til Kørøs i Ungarn|0023
|Berettyo-Ujfalu, By i det mellemste Ungarn, Komitatet Bihar|0023
|Berg og Borg|0023
|1) findes ofte i Personnavne hos den got. Folkestamme; det betyder »Hjælp«|0023
|2) Som Efternavn udgaar Berg fra Stednavne Berg (= Bjerg)|0023
|Berg,|0023
|norsk Herred,|0023
|1) Idde og Marker Fogderi, Smaalenenes Amt|0023
|2) Senjen Fogderi, Tromsø Amt|0023
|Berg (Ducatus Montensis), forhenv. tysk Hertugdømme, nu en Del af den preuss. Prov. Rheinland|0023-0024
|Berg, Andreas, norsk Bankmand, (1861- )|0024
|Berg, Axel, dansk Arkitekt, (1856- )|0024
|Berg, Carl, dansk Filolog og Skolemand (1812-95)|0024
|Berg, Carl Alfred, sv. Musiker, (1857- )|0024
|Berg, Christen, dansk Politiker, (1829-1891)|0024-0027
|Berg, Claus, Billedskærer|0027
|Berg, Fredrik Teodor, sv. Læge og Statistiker (1806-87)|0027
|Berg, Fridtjuv, sv. Skolemand og Politiker, (1851- )|0027-0028
|Berg, Friedrich Wilhelm Rembert (Feodor Feodorovitsch), Greve, russ. Generalfeltmarskal, (1790-1874)|0028
|Berg, Georg Vilhelm, sv. adm. Embedsmand, videnskabelig Forf., (1839- )|0028
|Berg, Gunnar, norsk Maler, (1863-1893)|0028
|Berg, Gustaf Ruben Gustafsson (G:son), sv. Sprogmand og Litteraturhistoriker, (1876- )|0028-0029
|Berg, Harald, norsk Forretningsmand, (1823-1895)|0029
|Berg, Jens Christian, norsk Retslærd og Historiker, (1775-1852)|0029
|Berg, Josef Albert Soult, sv. Marinemaler, (1832- )|0029
|Berg, John, sv. Kirurg, (1851- )|0029
|Berg, Karl Heinrich Edmund, Friherre af, tysk Forstmand, (1800-1874)|0029
|Berg, Lars, sv. Ingeniør og Politiker, (1838- )|0029
|Berg, Lorens, norsk Lokalhistoriker, (1862- )|0029-0030
|Berg, Magnus, norsk Billedskærer, (1666-1739)|0030
|Berg, O. F., se Ebersberg, O. F.|0030
|Berg, Rasmus, dansk industri- og haandværkerhistorisk Forf., (1865- )|0030
|Berg, Sigurd, dansk Politiker, (1868- )|0030
|Berga, By i det nordøstlige Spanien, Prov. Barcelona|0030
|Bergaigne, Abel Henri Joseph, fr. Orientalist (1838-88)|0030-0031
|Bergama, By i Lilleasien, tyrk Vilajet Smyrna|0031
|Bergamasca (fr. bergamasque), en i 18. Aarh. populær ital. Dans og Dansemelodi|0031
|Bergamasca, se Bergamo|0031
|Bergamasker-Alperne, Alpi Bergamache, Parti af Alperne i Norditalien|0031
|Bergamaskit, se Hornblendegruppen|0031
|Bergames, Tapeter, der opr. vævedes i Bergamo|0031
|Bergamo, Prov. i Norditalien, ligger i Lombardiet|0031
|Bergamotolie er en æterisk Olie, som indeholdes i Frugtskallen af Citrus Bergamia Risso|0031
|Bergamotte, se Citrus og Pæretræ|0031
|Bergara, se Vergara|0031
|Bergasse, Nicolas, fr. Politiker og Skribent (1750-1832)|0031
|Bergbom, Kaarlo Juhani, finsk Teaterdirektør, (1843-1906)|0031-0032
|Berge, Abraham Teodor, norsk Politiker, (1851- )|0032
|Berge, Rikard, norsk Forf., (1881- )|0032
|Bergedorf, et hamburgsk Amt|0032
|Bergell, Val Bregaglia, den for sin Skønhed bekendte Alpedal|0032
|Bergelmer, Jætte|0032
|Bergen (oldn. Bjergvin o: Bjerggræsgang, i lat. Diplomer Bergae), Norges næststørste By|0032-0036
|Bergen, By i Belgien, se Mons|0036
|Bergen, Landsby i den nederlandske Prov. Nordholland|0036
|Bergen, By i den preussiske Prov. Pommern, Hovedpladsen paa Øen Rügen|0036
|Bergen, Dirk van, holl. Dyre-og Landskabsmaler, (1645- e. 1690)|0036
|Bergendal, David, sv. Zoolog, (1855-1908)|0036-0037
|Bergenhus Amt, Nordre|0037
|Bergenhus Amt, Søndre|0037-0039
|Bergensbanen|0039
|Bergenia Mönch, Slægt af Stenbrækfam., Stauder|0039
|Bergen op Zoom , By i den holl. Prov. Nordbrabant|0039
|Bergensbanen, Jernbanen mellem Bergen og Kria|0039
|Bergens Fundats, en kronologisk Oversigt over Bergens Historie fra de ældste Tider|0039
|Bergensjolle, spidsgattet, klinkbygget, aaben Baad|0039
|Bergens Kalvskind (Björgynjar Kálfskinn), Fortegnelse over Kirkernes Godser og Indtægter|0039-0040
|Bergens Kapitelsbog, se Absalon Pederssøn|0040
|Bergens Museum|0040
|Bergens Rimkrønike|0040
|Bergen Stift|0040
|Berger, Alfred von, tysk Videnskabsmand og Dramaturg, (1853- )|0040
|Berger, Christian Johann, Læge, (1724-1789)|0040
|Berger, Henning, sv. Forf., (1872- )|0040-0041
|Berger, Johan Kristian, sv. Maler, (1803-1871)|0041
|Berger, Johann Just von, Læge, (1723-1791)|0041
|Berger, Johann Nepomuk, østerrigsk Statsmand (1816-70)|0041
|Berger, Ludwig, tysk Musiker (1777-1839)|0041
|Berger, Ossian, sv. Jurist, (1849-1914)|0041
|Berger, Philippe, (1846-1912)|0041
|Berger, Samuel, fr. Præst og Sekretær ved det protestantiske Fakultet i Paris, (1843-1909)|0041
|Berger, Wilhelm, tysk Komponist, (1861-1911)|0041
|Bergerac, By i det fr. Dept Dordogne|0041-0042
|Bergerac, Savinien Cyrano de, fr. Forf. (1619-55)|0042
|Bergerat, Auguste Emile, fr, Forf., (1845- )|0042
|bergére (fr.), Hyrdinde; magelig polstret Lænestol, kvindelig Hovedpynt|0042
|Bergfalk, Pehr Erik, sv. Retslærd og Nationaløkonom, (1798-1890)|0042
|Bergfisk, se Klipfisk|0042
|Bergflette, se Hedera|0042
|Bergfrue, se Saxifraga|0042
